checkpoint_id,cmni,total_mns,total_neurons,activation,batch_size,dropout,epochs,num_layers,num_neurons,learning_rate
checkpoint-20241010-042615-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch150-valLoss0.0409,0.005080621502764858,0.1930636171050646,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-042858-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch152-valLoss0.0409,0.0049097679176612315,0.18657118087112678,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-043142-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch154-valLoss0.0409,0.0048825589963742,0.1855372418622196,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-043424-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch156-valLoss0.0408,0.004538052427649304,0.17244599225067356,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-043708-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch158-valLoss0.0408,0.0049893594556073674,0.18959565931307998,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-044117-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch161-valLoss0.0406,0.0048151329848076605,0.1829750534226911,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-044645-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch165-valLoss0.0406,0.004662010378909197,0.17715639439854947,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-044932-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch167-valLoss0.0406,0.004675508826822557,0.17766933541925717,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-045054-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch168-valLoss0.0405,0.0047958436084458685,0.182242057120943,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-045216-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch169-valLoss0.0405,0.004494719642722885,0.1707993464234696,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-045501-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch171-valLoss0.0404,0.004891052216510901,0.18585998422741423,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-045623-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch172-valLoss0.0404,0.004769419968964191,0.18123795882063923,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-050315-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch177-valLoss0.0403,0.004371842892184845,0.1661300299030241,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-050723-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch180-valLoss0.0403,0.004522333310730967,0.17184866580777675,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-051132-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch183-valLoss0.0402,0.004664979529611824,0.17726922212524931,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-051252-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch184-valLoss0.0401,0.004371929311178008,0.16613331382476432,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-051704-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch187-valLoss0.0401,0.004534579977384794,0.17231403914062218,38,relu,25,0.12,500,2,17,4e-06-e
